family_id,family,variation,alias,parents,children,description,parameters,upper_bound,lower_bound,domain
16.0,Shortest Path (Directed Graphs),Nonnegative Integer Weights,,Nonnegative Weights,,"The shortest path problem is the problem of finding a path between two vertices (or nodes) in a graph such that the sum of the weights of its constituent edges is minimized. Here, the weights are restricted to be nonnegative integers.","$V$: number of vertices
$E$: number of edges
$L$: maximum absolute value of edge cost","O(E + V min(log log V, log log L))",,Combinatorics
16.0,Shortest Path (Directed Graphs),Nonnegative Weighted Digraph,,,,,,,,
16.0,Shortest Path (Directed Graphs),Nonnegative Integer Weighted Digraph,,,,,,,,
16.0,Shortest Path (Directed Graphs),Weighted Digraph,,,,,,,,
16.0,Shortest Path (Directed Graphs),Second Shortest Simple Path,,st-Shortest Path,,"Given a weighted digraph $G=(V,E)$, find the second shortest path between two given vertices $s$ and $t$.","$V$: number of vertices
$E$: number of edges
$L$: maximum absolute value of edge cost",,,Combinatorics
16.0,Shortest Path (Directed Graphs),st-Shortest Path,,Nonnegative Weights,Second Shortest Simple Path; 2-sensitive (7/5)-approximate st-shortest paths; 1-sensitive decremental st-shortest paths; 2-sensitive decremental st-shortest paths; Replacement Paths Problem;,"Given a weighted digraph $G=(V,E)$, find the shortest path between two given vertices $s$ and $t$.","$V$: number of vertices
$E$: number of edges
$L$: maximum absolute value of edge cost",,,Combinatorics
16.0,Shortest Path (Directed Graphs),1-sensitive (3/2)-approximate ss-shortest paths,,General Weights,,Approximate the single source shortest paths problem within a factor of 3/2 with a sensitivity of 1.,"$V$: number of vertices
$E$: number of edges
$L$: maximum absolute value of edge cost",,,Combinatorics
16.0,Shortest Path (Directed Graphs),2-sensitive (7/5)-approximate st-shortest paths,,st-Shortest Path,,Approximate the st-shortest paths problem within a factor of 7/5 with a sensitivity of 2.,"$V$: number of vertices
$E$: number of edges
$L$: maximum absolute value of edge cost",,,Combinatorics
16.0,Shortest Path (Directed Graphs),1-sensitive decremental st-shortest paths,,st-Shortest Path,,Determine the st-shortest path with a sensitivity of 1 using decremental techniques.,"$V$: number of vertices
$E$: number of edges
$L$: maximum absolute value of edge cost",,,Combinatorics
16.0,Shortest Path (Directed Graphs),2-sensitive decremental st-shortest paths,,st-Shortest Path,,Determine the st-shortest path with a sensitivity of 2 using decremental techniques.,"$V$: number of vertices
$E$: number of edges
$L$: maximum absolute value of edge cost",,,Combinatorics
