family,variation,algorithm,year,time_class,time_expr,time_encoding,space_class,space_expr,looked_at,approximate,heuristic,randomized,model,authors,title,paper_url,doi,description,remarks
Minumum Spanning Tree (Mst),"Undirected, General MST (Adjacency List Model)","Dürr, Heiligman, Høyer, Mhalla 2",2004,2.5,O(sqrt(n*m)),,2.0,O(log(n)),1.0,,,,Quantum Computing,"['Christoph Dürr', 'Mark Heiligman', 'Peter Høyer', 'Mehdi Mhalla']",['Quantum Query Complexity of Some Graph Problems'],https://arxiv.org/pdf/quant-ph/0401091,10.1137/050644719,Quantum algorithm,
Minimum Spanning Tree (Mst),"Undirected, General MST (Adjacency Matrix Model)","Dürr, Heiligman, Høyer, Mhalla 2",2004,4.5,O(n^(3/2)),,2.0,O(log(n)),1.0,,,,Quantum Computing,"['Christoph Dürr', 'Mark Heiligman', 'Peter Høyer', 'Mehdi Mhalla']",['Quantum Query Complexity of Some Graph Problems'],https://arxiv.org/pdf/quant-ph/0401091,10.1137/050644719,Quantum algorithm,
Minimum Spanning Tree (Mst),"Undirected, General MST",Heiligman,2003,4.8,O(n^(7/4)),,,,1.0,,,,Quantum Computing,['Mark Heiligman'],['Quantum Algorithms for Lowest Weight Paths and Spanning Trees in Complete Graphs'],https://arxiv.org/pdf/quant-ph/0303131,10.48550/arXiv.quant-ph/0303131,Quantum algorithm,
Minimum Spanning Tree (Mst),"Undirected, General MST (Quantum Walks)","Luiz, Fanchini, de Albuquerque, Papa, de Oliviera",2025,5.0,O(n^2),,2.0,O(log(n)),1.0,,,,Quantum Computing,"['Fabricio Souza Luiz', 'Felipe Fanchini', 'Victor Hugo de Albuquerque', 'João Paulo Papa', 'Marcos de Oliviera'","['A Quantum Walk-Driven Algorithm for the Minimum Spanning Tree Problem under
a Maximal Degree Constraint']",https://arxiv.org/pdf/2508.07007,10.48550/arXiv.2508.07007,Quantum algorithm,
Minimum Spanning Tree (Mst),"Undirect, Verification",Heiligman,2011,3.0,O(n + sqrt(m) * log(n)),,,,1.0,,,,Quantum Computing,['Mark Heiligman'],['Quantum Verification of Minimum Spanning Tree'],https://arxiv.org/pdf/1112.1139,10.48550/arXiv.1112.1139,Quantum algorithm,
Shortest-Path (Directed Graphs),General Weights (Adjacency List Model),Furrow 1,2006,4.5,O(n^(3/2)*m^(1/2)*sqrt(log(n)),,,,1.0,,,,Quantum Computing,['Bartholomew Furrow'],['A Panoply of Quantum Algorithms'],https://arxiv.org/pdf/quant-ph/0606127,10.48550/arXiv.quant-ph/0606127,Quantum algorithm,This algorithm is heavily based on Bellman-Ford algorithm
Shortest-Path (Directed Graphs),General Weights (Adjacency Matrix Model),Furrow 1,2006,5.5,O(n^(5/2)*sqrt(log(n)),,,,1.0,,,,Quantum Computing,['Bartholomew Furrow'],['A Panoply of Quantum Algorithms'],https://arxiv.org/pdf/quant-ph/0606127,10.48550/arXiv.quant-ph/0606127,Quantum algorithm,This algorithm is heavily based on Bellman-Ford algorithm
Shortest-Path (Directed Graphs),Nonnegative Weights,Heiligman 2,2003,4.8,O(n^(7/4)),,,,1.0,,,,Quantum Computing,['Mark Heiligman'],['Quantum Algorithms for Lowest Weight Paths and Spanning Trees in Complete Graphs'],https://arxiv.org/pdf/quant-ph/0303131,10.48550/arXiv.quant-ph/0303131,Quantum algorithm,This is a quantum computing version of Dijkstra's algorithm
Shortest-Path (Directed Graphs),Nonnegative Weights (Adjacency List Model),"Dürr, Heiligman, Høyer, Mhalla 1",2004,2.9,O(sqrt(n*m)*log^2(n)),,2.0,O(log(n)),1.0,,,,Quantum Computing,"['Christoph Dürr', 'Mark Heiligman', 'Peter Høyer', 'Mehdi Mhalla']",['Quantum Query Complexity of Some Graph Problems'],https://arxiv.org/pdf/quant-ph/0401091,10.1137/050644719,Quantum algorithm,This algorithm is based on Heiligman's algorithm (2003). It achieves a speedup via improving the efficiency of the update step in Heiligman's.
Shortest-Path (Directed Graphs),Nonnegative Weights (Adjacency Matrix Model),"Dürr, Heiligman, Høyer, Mhalla 1",2004,4.6,O(n^(3/2)*log^2(n)),,2.0,O(log(n)),1.0,,,,Quantum Computing,"['Christoph Dürr', 'Mark Heiligman', 'Peter Høyer', 'Mehdi Mhalla']",['Quantum Query Complexity of Some Graph Problems'],https://arxiv.org/pdf/quant-ph/0401091,10.1137/050644719,Quantum algorithm,This algorithm is based on Heiligman's algorithm (2003). It achieves a speedup via improving the efficiency of the update step in Heiligman's.
